Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
Аналитик-разработчик (Data Scientist) в службу аналитики роста рекламы,https://hh.ru/vacancy/119498286,Яндекс,не указана,От 3 до 6 лет,Нет,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
ML Engineer в Почту,https://hh.ru/vacancy/119543544,VK,не указана,Более 6 лет,Да,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Senior LLM researcher (Sber AI Lab),https://hh.ru/vacancy/119139094,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Senior MLSecOps Engineer,https://hh.ru/vacancy/114988743,Т-Банк,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Разработчик в команду компьютерного зрения SportTech,https://hh.ru/vacancy/119127255,Яндекс,не указана,От 3 до 6 лет,Нет,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Data Scientist (Middle/Senior),https://hh.ru/vacancy/119332755,ПКО АйДи Коллект,не указана,От 1 года до 3 лет,Нет,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
IT-лид команды в сфере данных и ML,https://hh.ru/vacancy/117435319,Деко Системс,не указана,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Архитектор AI/ML,https://hh.ru/vacancy/119534696,МосТрансПроект,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ML Ops Engineer,https://hh.ru/vacancy/119083118,Photo Lab,от 220000 RUR,От 1 года до 3 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
MLops-инженер,https://hh.ru/vacancy/119290460,РСХБ-Интех,не указана,От 1 года до 3 лет,Да,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0
"Senior Data Analyst (AB тестирование, ML модели)",https://hh.ru/vacancy/111417147,Х5 Group,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Growth manager в команду CRM-маркетинга Маркета,https://hh.ru/vacancy/118862916,Яндекс,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist в команду рисков,https://hh.ru/vacancy/118914978,Газпромбанк,не указана,От 3 до 6 лет,Да,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Middle Data Scientist,https://hh.ru/vacancy/116807049,IDF Eurasia,не указана,От 3 до 6 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Senior Data Scientist NLP в команду клиентского сервиса,https://hh.ru/vacancy/118914987,Газпромбанк,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Дата-сайентист в Маркет,https://hh.ru/vacancy/109934658,Яндекс,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
